row,StateName,DistrictName,BlockName,PanchayatName,VillageName,HabitationName,Location,TypeOfSource,Lab,LabTestingDate,SampleName,AbovePMandatory,BelowPMandatory,AbovePEmerging,BelowPEmerging,Testid
21,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANDRA KOTTAI,KANDARAKKATTAI,NEW COLONY,"Within the Habitation/ Scheme Name: W.S.S to New Colony - Kandrakottai - Annagramam -NEW COLONY,/SC1433485",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,24/02/2020,2546,,"Nitrate[0.000 mg/l],Fluoride[0.200 mg/l],Iron[0.130 mg/l],Chloride[233.000 mg/l],pH[7.000 pH],TDS[980.000 mg/l],Alkalinity[259.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[74.000 mg/l],Manganese[0.000 mg/l],Hardness[200.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661111
22,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANDRA KOTTAI,KANDARAKKATTAI,THIRUMURUGAN NAGAR,"Within the Habitation/ Scheme Name: W.S.S to Thirumurugan Nagar - Kandrakottai - Annagramam -THIRUMURUGAN NAGAR,/H385400",Delivery Point,District Water Testing Laboratory / DISTRICT Lab,24/02/2020,2547,,"Nitrate[0.000 mg/l],Fluoride[0.200 mg/l],Iron[0.000 mg/l],Chloride[66.000 mg/l],pH[6.600 pH],TDS[301.000 mg/l],Alkalinity[86.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[20.000 mg/l],Manganese[0.000 mg/l],Hardness[100.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661220
23,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,CHITHIRACHAVADI,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1974) -CHITHIRACHAVADI,/SC506505",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2548,,"Nitrate[1.000 mg/l],Fluoride[0.200 mg/l],Iron[0.000 mg/l],Chloride[43.000 mg/l],pH[6.600 pH],TDS[259.000 mg/l],Alkalinity[95.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[19.000 mg/l],Manganese[0.000 mg/l],Hardness[100.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661348
24,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,CHITHIRAI CHAVADI MAIN ROAD,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -CHITHIRAI CHAVADI MAIN ROAD,/SC512218",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2549,,"Nitrate[0.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[87.000 mg/l],pH[6.600 pH],TDS[371.000 mg/l],Alkalinity[95.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[28.000 mg/l],Manganese[0.000 mg/l],Hardness[120.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661467
25,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,INDRA NAGAR,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -INDRA NAGAR,/SC503732",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2550,,"Nitrate[0.000 mg/l],Fluoride[0.000 mg/l],Iron[0.000 mg/l],Chloride[70.000 mg/l],pH[6.600 pH],TDS[294.000 mg/l],Alkalinity[99.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[28.000 mg/l],Manganese[0.000 mg/l],Hardness[120.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661548
26,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,KANISAPAKKAM NEW COLONY,"Within the Habitation/ Scheme Name: W.S.S to Kanisapakkam New Colony - Kanisapakkam - Annagramam -KANISAPAKKAM NEW COLONY,/SC1433546",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2551,,"Nitrate[0.000 mg/l],Fluoride[0.200 mg/l],Iron[0.130 mg/l],Chloride[31.000 mg/l],pH[6.600 pH],TDS[238.000 mg/l],Alkalinity[121.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[8.000 mg/l],Manganese[0.000 mg/l],Hardness[112.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661676
27,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,KANNISAPAKKAM,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (1974) -KANNISAPAKKAM,/SC509647",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2552,,"Nitrate[1.000 mg/l],Fluoride[0.100 mg/l],Iron[0.000 mg/l],Chloride[29.000 mg/l],pH[7.200 pH],TDS[235.000 mg/l],Alkalinity[112.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[20.000 mg/l],Manganese[0.000 mg/l],Hardness[108.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661748
28,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,KANNISAPAKKAM COLONY,"/ Scheme Name: Tubewell Power Pump-Deep Tubewell (2000) -KANNISAPAKKAM COLONY,/SC507684",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2553,,"Nitrate[0.000 mg/l],Fluoride[0.000 mg/l],Iron[0.000 mg/l],Chloride[16.000 mg/l],pH[6.700 pH],TDS[172.000 mg/l],Alkalinity[99.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[8.000 mg/l],Manganese[0.000 mg/l],Hardness[80.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661791
29,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,REDDIYAR THERU,"with in the habitation/ Scheme Name: WSS TO REDDIYAR THERU -REDDIYAR THERU,/SC5362425",Deep Tubewell,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2554,,"Nitrate[0.000 mg/l],Fluoride[0.300 mg/l],Iron[0.000 mg/l],Chloride[29.000 mg/l],pH[6.700 pH],TDS[203.000 mg/l],Alkalinity[95.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[13.000 mg/l],Manganese[0.000 mg/l],Hardness[80.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031661858
30,TAMIL NADU,Cuddalore,ANNAGRAMAM,KANISAPAKKAM,KANISAPAKKAM,THIRUMALAI NAGAR,"Within the Habitation/ Scheme Name: W.S.S to Thirumalai Nagar - Kandrakottai - Annagramam -THIRUMALAI NAGAR,/H385434",Delivery Point,District Water Testing Laboratory / DISTRICT Lab,25/02/2020,2555,,"Nitrate[1.000 mg/l],Fluoride[0.100 mg/l],Iron[0.130 mg/l],Chloride[19.000 mg/l],pH[7.600 pH],TDS[210.000 mg/l],Alkalinity[104.000 mg/l]",,"Total Coliform[0.000 MPN/100ml],Sulphates[8.000 mg/l],Manganese[0.000 mg/l],Hardness[96.000 mg/l],Residual Chlorine[0.000 mg/l]",L0031662181
